,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
0,intel core i710750h 50 ghz,15.6,8.0,nvidia geforce rtx 3060,msi,512.0,0.0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-5-0-ghz-512gb.html,2,1,32399.0,btech
1,intel core i710750h 50 ghz,15.6,16.0,nvidia geforce rtx 3060,msi,512.0,0.0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-512gb-rtx3060.html,2,1,33749.0,btech
2,intel core i710750hh 50 ghz,15.6,24.0,nvidia geforce rtx 2070,lenovo,1000.0,0.0,https://btech.com/en/lenovo-legion-7-laptop-intel-i7-5-0-ghz-1tb.html,2,1,43065.0,btech
3,intel core i710870h 22 ghz,15.6,16.0,nvidia geforce rtx 3070 graphics,hp,1000.0,0.0,https://btech.com/en/hp-omen-15-laptop-intel-i7-10870h-2-2-ghz-1tb.html,2,1,49275.0,btech
4,intel core i71165g7,13.9,16.0,intel iris xe graphics integrated,huawei,1000.0,0.0,https://btech.com/en/huawei-matebook-x-pro-2021-grey-buds-bag.html,2,1,36999.0,btech
5,intel core i710870h,15.6,16.0,nvidia geforce rtx 3050 4gb,dell,512.0,0.0,https://btech.com/en/dell-g15-5510-i7-10870h-512gb-16gb-ubn-backpk.html,1,0,24499.0,btech
6,intel core i710750h,15.6,16.0,nvidia geforce gtx1660 ti 6gb,lenovo,512.0,0.0,https://btech.com/en/lenovo-legion-5-i7-10750h-1tb-512-win-10-backpk.html,2,0,28599.0,btech
7,amd ryzen 7 5800hs  octa core,14.0,16.0,nvidia geforce rtx 3050 4gb,asus,16.0,0.0,https://btech.com/en/asus-laptop-rog-zephyrusg14-ga401qck2145t.html,2,1,27399.0,btech
8,intel core i710750h 26 ghz,15.6,16.0,intel uhd graphics,hp,512.0,0.0,https://btech.com/en/hp-omen-laptop-intel-i7-10750h-2-6-ghz-1tb-512gb.html,2,1,40499.0,btech
9,intel core i711800h octa core ,15.6,16.0,nividia geforce rtx 3060 6gb,dell,16.0,0.0,https://btech.com/en/dell-grey-inspiron5511-g15e0004-laptop.html,1,1,23500.0,btech
10,intel core i510500h,15.6,8.0,nvidia gtx 1650 4g,msi,256.0,0.0,https://btech.com/en/msi-gf63laptop-intel-1t-256gb-ssd-8ram-nvidia.html,1,1,17999.0,btech
11,intel core i71165g7,15.6,8.0,intel iris xe,lenovo,256.0,0.0,https://btech.com/en/lenovo-ideapad5-1tb-256ssd-8gb-blu.html,1,1,15599.0,btech
12,intel core i71165g7,15.6,8.0,nvidia mx330 2gb,asus,512.0,0.0,https://btech.com/en/asus-k513i7-laptop-i7-15-6inch-512gb-ssd-8gb.html,2,0,17399.0,btech
13,amd ryzen 7 3700u,15.6,8.0,radeon vega 8 graphics,vaio,512.0,0.0,https://btech.com/en/vaio-e15-ryzen-7-3700u-512gb-8gb-w10-sl.html,2,1,16399.0,btech
14,amd athlon gold 3150u,15.6,4.0,amd radeon graphics integrated,hp,0.0,1000.0,https://btech.com/en/hp-15-gw0056nia-athlon-3150u-1tb-4gb-bk.html,1,1,7899.0,btech
15,intel core i51135g7,12.3,8.0,intel iris plus graphics,microsoft,256.0,0.0,https://btech.com/en/microsoft-surface-pro7plus-laptop-i5-12-3inch.html,2,1,34999.0,btech
16,intel core i71165g7,15.6,8.0,intel iris xe,lenovo,512.0,0.0,https://btech.com/en/lenovo-ideapad5-512ssd-8gb-blu.html,1,1,15599.0,btech
17,intel,15.6,8.0,nvidia mx350 2g,hp,128.0,0.0,https://btech.com/en/hp-15-dw3019ne-laptop-windows-10-silver.html,2,1,15199.0,btech
18,intel core i71165g7,14.0,8.0,intel iris xe,msi,512.0,0.0,https://btech.com/en/msi-modern-14b11mol-corei7-14-512ssd-8-win10.html,2,1,15999.0,btech
19,intel core i51135g7,15.6,8.0,intel iris xe graphics,lenovo,256.0,0.0,https://btech.com/en/lenovo-ideapad-5-i5-1135g7-1tb-256gb-dos-bl.html,1,1,12799.0,btech
20,intel core i711800h,15.6,16.0,nvidia geforce rtx 3060 6gb,dell,1000.0,0.0,https://btech.com/en/dell-g15-5511-spl-ed-i7-11800h-1tb-16gb-bk-1648644336.html,1,1,27999.0,btech
21,intel core i9 ,16.0,16.0,amd radeon pro 5500m with 4gb of gddr6,apple,1000.0,0.0,https://btech.com/en/apple-macbook-pro-i9-1tbssd-16gb-spacegray.html,0,1,78165.0,btech
22,intel core i7 ,16.0,16.0,amd radeon pro 5300m with 4gb of gddr6,apple,512.0,0.0,https://btech.com/en/apple-macbook-pro-i7-512ssd-16gb-silver.html,0,1,67365.0,btech
23,intel core i5 ,13.0,8.0,intel iris plus graphics,apple,512.0,0.0,https://btech.com/en/apple-macbookair-i5-512ssd-8gb-gold.html,0,1,39015.0,btech
24,intel core i3 ,13.0,8.0,intel iris plus graphics,apple,256.0,0.0,https://btech.com/en/apple-macbookair-i3-256ssd-8gb-gold.html,0,1,31725.0,btech
25,apple m1 pro chip decacore,14.2,16.0,apple m1 pro gpu 16 cores,apple,1000.0,0.0,https://btech.com/en/apple-macbook-pro-2021-1tb-10c-16gb-16c-sl.html,0,1,76999.0,btech
26,apple m1 pro chip decacore,14.2,16.0,apple m1 pro gpu 16 cores,apple,1000.0,0.0,https://btech.com/en/apple-macbook-pro-2021-1tb-10c-16gb-16c-sp-gr-1648635037.html,0,1,73999.0,btech
27,apple m1 pro chip octacore,14.2,16.0,apple m1 pro gpu 14 cores,apple,512.0,0.0,https://btech.com/en/apple-macbook-pro-2021-512gb-16gb-sp-gr.html,0,1,63999.0,btech
