,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
0,Intel Core i7-10750H 5.0 GHz,15.6,8.0,NVIDIA GeForce RTX 3060,MSI,512,0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-5-0-ghz-512gb.html,2,1,32399.0,btech
1,Intel core i7-10750H 5.0 GHz,15.6,16.0,NVIDIA GeForce RTX 3060,MSI,512,0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-512gb-rtx3060.html,2,1,33749.0,btech
2,Intel Core i7-10750HH 5.0 GHz,15.6,24.0,NVIDIA GeForce RTX 2070,Lenovo,1000,0,https://btech.com/en/lenovo-legion-7-laptop-intel-i7-5-0-ghz-1tb.html,2,1,43065.0,btech
3,Intel Core i7-10870H 2.2 GHz,15.6,16.0,Nvidia GeForce RTX 3070 Graphics,HP,1000,0,https://btech.com/en/hp-omen-15-laptop-intel-i7-10870h-2-2-ghz-1tb.html,2,1,49275.0,btech
4,Intel Core i7-1165G7,13.9,16.0,Intel Iris Xe Graphics (integrated),Huawei,1000,0,https://btech.com/en/huawei-matebook-x-pro-2021-grey-buds-bag.html,2,1,36999.0,btech
5,Intel Core i7-10870H,15.6,16.0,"NVIDIA GeForce RTX 3050, 4GB",Dell,512,0,https://btech.com/en/dell-g15-5510-i7-10870h-512gb-16gb-ubn-backpk.html,1,0,24499.0,btech
6,Intel Core i7-10750H,15.6,16.0,"NVIDIA GeForce GTX1660 TI, 6GB",Lenovo,512,0,https://btech.com/en/lenovo-legion-5-i7-10750h-1tb-512-win-10-backpk.html,2,0,28599.0,btech
7,AMD Ryzen 7 5800HS - Octa Core,14.0,16.0,Nvidia GeForce RTX 3050 4GB,ASUS,16,0,https://btech.com/en/asus-laptop-rog-zephyrusg14-ga401qck2145t.html,2,1,27399.0,btech
8,Intel Core i7-10750H 2.6 GHz,15.6,16.0,Intel UHD Graphics,HP,512,0,https://btech.com/en/hp-omen-laptop-intel-i7-10750h-2-6-ghz-1tb-512gb.html,2,1,40499.0,btech
9,Intel Core i7-11800H Octa core processor,15.6,16.0,Nividia GeForce RTX 3060 6GB,Dell,16,0,https://btech.com/en/dell-grey-inspiron5511-g15e0004-laptop.html,1,1,23500.0,btech
10,Intel Core i5-10500H,15.6,8.0,NVIDIA GTX 1650 4G,MSI,256,0,https://btech.com/en/msi-gf63laptop-intel-1t-256gb-ssd-8ram-nvidia.html,1,1,17999.0,btech
