,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
0,intel core i7 0750h,15.6,8.0,nvidia geforce rtx 3060,msi,512.0,0.0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-5-0-ghz-512gb.html,2,1,32399.0,btech
1,intel core i7 0750h,15.6,16.0,nvidia geforce rtx 3060,msi,512.0,0.0,https://btech.com/en/msi-gf65-laptop-intel-i7-10750h-512gb-rtx3060.html,2,1,33749.0,btech
5,intel core i7 0870h,15.6,16.0,nvidia geforce rtx 3050 4gb,dell,512.0,0.0,https://btech.com/en/dell-g15-5510-i7-10870h-512gb-16gb-ubn-backpk.html,1,0,24499.0,btech
6,intel core i7 0750h,15.6,16.0,nvidia geforce gtx1660 ti 6gb,lenovo,512.0,0.0,https://btech.com/en/lenovo-legion-5-i7-10750h-1tb-512-win-10-backpk.html,2,0,28599.0,btech
7,amd 7 5800hs,14.0,16.0,nvidia geforce rtx 3050 4gb,asus,16.0,0.0,https://btech.com/en/asus-laptop-rog-zephyrusg14-ga401qck2145t.html,2,1,27399.0,btech
8,intel core i7 0750h,15.6,16.0,intel uhd ,hp,512.0,0.0,https://btech.com/en/hp-omen-laptop-intel-i7-10750h-2-6-ghz-1tb-512gb.html,2,1,40499.0,btech
9,intel core i7 1800h,15.6,16.0,nividia geforce rtx 3060 6gb,dell,16.0,0.0,https://btech.com/en/dell-grey-inspiron5511-g15e0004-laptop.html,1,1,23500.0,btech
10,intel core i5 0500h,15.6,8.0,nvidia gtx 1650 4g,msi,256.0,0.0,https://btech.com/en/msi-gf63laptop-intel-1t-256gb-ssd-8ram-nvidia.html,1,1,17999.0,btech
11,intel core i7 165g7,15.6,8.0,intel iris xe,lenovo,256.0,0.0,https://btech.com/en/lenovo-ideapad5-1tb-256ssd-8gb-blu.html,1,1,15599.0,btech
12,intel core i7 165g7,15.6,8.0,nvidia mx330 2gb,asus,512.0,0.0,https://btech.com/en/asus-k513i7-laptop-i7-15-6inch-512gb-ssd-8gb.html,2,0,17399.0,btech
13,amd 7 3700u,15.6,8.0,radeon vega 8 ,vaio,512.0,0.0,https://btech.com/en/vaio-e15-ryzen-7-3700u-512gb-8gb-w10-sl.html,2,1,16399.0,btech
14,amd 3 3150u,15.6,4.0,amd radeon  integrated,hp,0.0,1000.0,https://btech.com/en/hp-15-gw0056nia-athlon-3150u-1tb-4gb-bk.html,1,1,7899.0,btech
15,intel core i5 135g7,12.3,8.0,intel iris plus ,microsoft,256.0,0.0,https://btech.com/en/microsoft-surface-pro7plus-laptop-i5-12-3inch.html,2,1,34999.0,btech
16,intel core i7 165g7,15.6,8.0,intel iris xe,lenovo,512.0,0.0,https://btech.com/en/lenovo-ideapad5-512ssd-8gb-blu.html,1,1,15599.0,btech
18,intel core i7 165g7,14.0,8.0,intel iris xe,msi,512.0,0.0,https://btech.com/en/msi-modern-14b11mol-corei7-14-512ssd-8-win10.html,2,1,15999.0,btech
19,intel core i5 135g7,15.6,8.0,intel iris xe ,lenovo,256.0,0.0,https://btech.com/en/lenovo-ideapad-5-i5-1135g7-1tb-256gb-dos-bl.html,1,1,12799.0,btech
