,Processor,Graphics Card,RAM(GB),SSD(GB),HDD(GB),store,OS,Screen Size(inch),link,brand,Normal,price EG
0,AMD 3020E,amd radeon graphics ,4.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-v15-ada-laptop-amd-3020e-4gb-ram-1tb-hdd-amd-radeon-graphics-15.6-hd-dos-grey-briefcase-16gb-flash-drive-24415395.html,Lenovo,1,5555.0
1, Intel Core I7-11800H,geforce rtx 3050 4gb ,16.0,512,0,jumia,1,15.6,https://www.jumia.com.eg/g15-5511-gaming-laptop-intel-core-i7-11800h-16gb-ram-512gb-ssd-nvidia-geforce-rtx-3050-4gb-15.6-inch-fhd-120hz-display-ubuntu-dark-shadow-grey-dell-mpg851886.html,DELL,0,22999.0
2, Intel Core I3-1005G1,intel uhd gpu ,4.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-v15-iil-laptop-10th-intel-core-i3-1005g1-4-gb-ram-1-tb-hdd-intel-uhd-gpu-15.6-inch-fhd-dos-iron-grey-briefcase-16gb-flash-drive-24431412.html,Lenovo,1,7399.0
3,Intel Celeron N4020,intel uhd graphics 600 ,4.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-v15-igl-laptop-intel-celeron-n4020-4gb-ram-1tb-hdd-intel-uhd-graphics-600-15.6-inch-hd-dos-iron-grey-25271868.html,Lenovo,1,4444.0
4, Intel Core I5-10210U,intel uhd gpu ,8.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-v15-iml-laptop-intel-core-i5-10210u-8gb-ram-1tb-hdd-intel-uhd-gpu-15.6-inch-full-hd-dos-iron-grey-sgk-15.6-inch-laptop-carrying-bag-black-zero-wired-mouse-25216467.html,Lenovo,1,8888.0
5, Intel Core I3-1005G1,intel uhd graphics – do,4.0,0,1000,jumia,1,14.1,https://www.jumia.com.eg/hp-240-g7-1l3l4ea-notebook-laptop-intel-core-i3-1005g1-4gb-ram-1tb-hdd-14.1-inch-intel-uhd-graphics-dos-black-englisharabic-keyboard-25202460.html,HP,1,6888.0
6, Intel Core I3-10110U,intel uhd graphics ,4.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-v15-iml-laptop-intel-core-i3-10110u-4gb-ram-1tb-hdd-intel-uhd-graphics-15.6-inch-hd-dos-iron-grey-25271867.html,Lenovo,1,6888.0
7, Intel Core I7-1195G7,intel iris xe graphics ,8.0,512,0,jumia,2,14,https://www.jumia.com.eg/dell-inspiron-14-5410-2-in-1-laptop-intel-core-i7-1195g7-8gb-ram-512gb-ssd-intel-iris-xe-graphics-14-inch-fhd-touch-fingerprint-windows-11-platinum-silver-backlit-english-keyboard-26029572.html,DELL,1,18299.0
8,R5-3450U,radeon vega 8 ,8.0,512,0,jumia,1,15.6,https://www.jumia.com.eg/dell-vostro-15-3515-laptop-r5-3450u-8gb-ram-512gb-ssd-15.6-fhd-amd-radeon-vega-8-ubuntu-black-25248845.html,DELL,1,10400.0
9,Core I7-1165G,geforce mx450 2gb ,8.0,0,1000,jumia,1,15.6,https://www.jumia.com.eg/15-3520-latitude-laptop-core-i7-1165g7-8gb-ram-1tb-15.6-inch-geforce-mx450-2gb-dos-black-dell-mpg848065.html,DELL,1,17495.0
10, Intel Core I7-10510U,mx 330 gpu ,12.0,256,1000,jumia,1,15.6,https://www.jumia.com.eg/lenovo-ideapad-3-laptop-intel-core-i7-10510u-12gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-2gb-mx-330-gpu-dos-platinum-grey-24748580.html,Lenovo,1,16444.0
11, AMD Ryzen 7 5800H,ryzen 7 5800h ,16.0,256,1000,jumia,1,15.6,https://www.jumia.com.eg/ideapad-gaming-3-15ach6-gaming-laptop-amd-ryzen-7-5800h-16gb-ram-1tb-hdd-256-ssd-gtx-1650-4gb-15.6-fhd-dos-shadow-black-lenovo-mpg872150.html,Lenovo,0,18999.0
