,Processor,Screen Size(inch),RAM(GB),Graphics Card,price EG,brand,SSD(GB),HDD(GB),Normal,link,OS,store
0,Core i7-1195G7,13.3,8,Intel Iris graphics,22900.0,HP,0,512,1,https://www.rayashop.com/en/hp-envy-x360-laptop-intel-core-i7-1195g7-13-3-inch-fhd-touch-512gb-ssd-8gb-ram-windos-11-silver,2,rayashop
1,AMD Ryzen 5 3500U,14.0,8,amd ryzen 5 3500u,17199.0,HUAWEI,0,512,1,https://www.rayashop.com/en/huawei-matebook-d-14-laptop-amd-ryzen-5-3500u-14-inch-fhd-512gb-8gb-ram-radeontm-vega-8-graphics-windows-10-home-grey,2,rayashop
2,Intel Core i7-10510U,14.0,8,amd radeon rx640 2gb,14234.0,Lenovo,0,1000,1,https://www.rayashop.com/en/catalog/product/view/id/56736/s/lenovo-thinkpad-e14-notebook-intel-core-i7-10510u-14-inch-fhd-1tb-hdd-8gb-ram-amd-radeon-rx640-2gb-dos-black-1/category/270/,1,rayashop
3,Core i5 1135G7,14.0,8,nvidia geforce mx350 2gb,17000.0,Lenovo,0,256,1,https://www.rayashop.com/en/lenovo-thinkpad-e14-g2-intel-core-i5-1135g7-14-inch-fhd-256gb-ssd-8gb-ram-nvidia-geforce-mx350-2gb-dos-black,1,rayashop
4,AMD 3020e,15.6,4,amd 3020e,5935.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-v15-ada-laptop-amd-3020e-15-6-inch-hd-1tbhdd-4gb-ram-amd-radeon-graphics-dos-grey-82c7007yed,1,rayashop
5,Intel Core I5-10300H,15.6,8,nvidia gtx 1650 4gb,17877.0,Dell,256,1000,0,https://www.rayashop.com/en/dell-g3-15-3500-gaming-laptop-intel-core-i5-10300h-15-6-inch-fhd-1tb-hdd-256gb-ssd-8gb-ram-nvidia-gtx-1650-4gb-ubuntu-black-r1101,1,rayashop
6,Intel i7-11800H,15.6,32,nvidia geforce rtx 3080 16gb gddr6,64757.0,Lenovo,0,2000,0,https://www.rayashop.com/en/lenovo-legion-7-16ithg6-gaming-laptop-intel-core-i7-11800h-16-inch-2tb-32gb-ram-nvidia-geforce-rtx-3080-16gb-gddr6-windows-11-storm-grey,2,rayashop
7,Intel® Core I7-11370H,15.6,8,nvidia geforce rtx 3050 4gb,25025.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-tuf-dash-f15-fx516pc-hn001t-intel-core-i7-11370h-15-6-fhd-512gb-8gb-ram-nvidia-geforce-rtx-3050-4gb-windows10-eclipse-grey,2,rayashop
8,Intel Core i7-1165G7,13.3,16,intel iris x graphics,24024.0,Asus,0,1000,1,https://www.rayashop.com/en/asus-zenbook-13-ux325ea-kg287t-laptop-intel-core-i7-1165g7-13-3-inch-fhd-1tb-16gb-ram-intel-iris-x-graphics-win-10-grey,2,rayashop
9,Intel Core i7-10870H,15.6,16,nvidia geforce rtx 3050 6gb,26246.0,Dell,512,0,0,https://www.rayashop.com/en/dell-g15-5510-gaming-laptop-intel-core-i7-10870h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3050-6gb-ubuntu-grey,1,rayashop
10,AMD Ryzen 5-4500U,15.6,8,amd ryzen 5-4500u,11626.0,MSI,0,256,1,https://www.rayashop.com/en/msi-modern-14-b4mw-laptop-amd-ryzen-5-4500u-14-inch-fhd-256gb-ssd-8gb-ram-amd-radeon-graphics-dos-dark-grey,1,rayashop
11,Intel Core i7-11370H,15.6,16,NVIDIA GeForce RTX 3050,25499.0,Asus,512,0,0,https://www.rayashop.com/en/asus-tuf-f15-fx516pe-hn019t-gaming-laptop-intel-core-i7-11370h-15-6-inch-fhd-512gb-ssd-16gb-ram-nvidia-geforce-rtx-3050-4gb-windows-10-white,2,rayashop
12,AMD Ryzen R5-4500U,14.0,8,AMD Radeon Graphics,13000.0,MSI,256,0,1,https://www.rayashop.com/en/msi-modern-14-b4mw-amd-010-laptop-amd-ryzen-r5-4500u-14-inch-fhd-256gb-ssd-8gb-ram-integrated-amd-radeon-graphics-dos-onyx-black,1,rayashop
13,Intel Core i5-10210U,15.6,4,nvidia geforce mx230 2gb,12999.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-latitude-3510-laptop-intel-core-i5-10210u-15-6-inch-fhd-1tb-hdd-4gb-ram-nvidia-geforce-mx230-2gb-dos-black,1,rayashop
14,Intel Core i7-1165G7,14.0,8,nvidia geforce mx330 2gb,17999.0,Asus,512,0,1,https://www.rayashop.com/en/asus-k413ep-ek007t-laptop-intel-core-i7-1165g7-14-inch-fhd-512gb-ssd-8gb-ram-nvidia-geforce-mx330-2gb-windows-10-transparent-silver,2,rayashop
15,Intel Core i5-1135G7,13.3,8,intel graphics,20199.0,ASUS,0,512,1,https://www.rayashop.com/en/asus-ux325ea-kg235t-laptop-intel-core-i5-1135g7-13-3-fhd-512gb-8gb-ram-intel-graphics-windows-10-grey,2,rayashop
18,Intel Core I5-1135G7,15.6,4,intel iris xe graphics,14300.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-latitude-3520-laptop-intel-core-i5-1135g7-15-6-inch-hd-1tb-4gb-ram-intel-iris-xe-graphics-ubuntu-black,1,rayashop
19,Intel Core i7-10875H,15.6,32,nvidia geforce rtx 2070 max-q 8gb gddr6,47999.0,Lenovo,0,1000,1,https://www.rayashop.com/en/catalog/product/view/id/76423/s/lenovo-legion-c7-laptop-intel-core-i7-10875h-15-6-inch-fhd-1tb-ssd-32gb-ram-nvidia-geforce-rtx-2070-max-q-8gb-gddr6-dos-grey-ecc/category/270/,1,rayashop
20,Intel Core i7-1165G7,14.0,8,NVIDIA GeForce MX330,15999.0,Asus,512,0,1,https://www.rayashop.com/en/asus-vivobook-s14k413ep-eb164t-laptop-intel-core-i7-1165g7-14-inch-fhd-512gb-ssd-8gb-ram-nvidia-geforce-mx330-2gb-win-10-black,2,rayashop
