,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
0,NEW HP 2560P,vga wifi windows,2.6,4.0,128,https://www.ubuy.com.eg/en/product/4SUMCH0KE-new-listing-new-hp-2560p-i5-2540m-2-6ghz-4gb-128gb-ssd-displayport-vga-wifi-windows,1,0,NEW,1,5923.0,ubuy
1,AMD Ryzen 3,ryzen 3 - 8gb ,15.6,8.0,256,https://www.ubuy.com.eg/en/product/3IN7HY-hp-15-6-hd-amd-ryzen-3-8gb-ram-256gb-ssd-windows-10-laptop,1,0,HP,1,11200.0,ubuy
4,"""FHD Intel i5-11320H",intel i5-11320h iris xe,15.6,8.0,256,https://www.ubuy.com.eg/en/product/41GIH1KMG-new-listing-dell-inspiron-15-5510-laptop-15-6-fhd-intel-i5-11320h-iris-xe-256gb-ssd-8gb-ram,1,0,Dell,1,17311.0,ubuy
5, Gaming Laptop i7-11800H,rtx 3070,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4RLVHZKW8-new-listing-gigabyte-aorus-15-6-ips-240hz-gaming-laptop-intel-core-i7-11800h-16gb-ram-1tb-s,1,0,GIGABYTE,0,33421.0,ubuy
6, Gaming Core i7-11800H,rtx 3060 6gb,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4E6M0JUMC-new-listing-msi-crosshair-15-15-6-144hz-gaming-laptop-intel-core-i7-11800h-16gb-ram-1tb-ssd,1,0,MSI,0,29810.0,ubuy
10, AMD Ryzen 5 5500U,ryzen 5 5500u 256gb ,15.6,8.0,256,https://www.ubuy.com.eg/en/product/497P1C3X4-dell-inspiron-15-5515-laptop-15-6-fhd-touch-amd-ryzen-5-5500u-256gb-ssd-8gb-ram,1,0,Dell,1,16478.0,ubuy
14, 120Hz Ryzen 5-5600H,ryzen 5-5600h 8gb ,15.6,8.0,512,https://www.ubuy.com.eg/en/product/41IPN7E8M-lenovo-ideapad-gaming-3-15-6-120hz-amd-ryzen-5-5600h-8gb-ram-512gb-ssd-3050-ti,1,0,Lenovo,0,19255.0,ubuy
15, Gaming Core i7-11800H,rtx 3050,15.6,16.0,512,https://www.ubuy.com.eg/en/product/4E6JKU3C0-new-listing-msi-crosshair-15-15-6-inch-gaming-laptop-i7-nvidia-geforce-rtx-3050-16gb-512,1,0,MSI,0,22311.0,ubuy
16,AMD Ryzen 5,ryzen 5 pro 4650u,14.0,16.0,512,https://www.ubuy.com.eg/en/product/4LQPV5HR4-new-listing-lenovo-thinkpad-l14-amd-laptop-14-0-fhd-ips-250-nits-ryzen-5-pro-4650u-16gb,1,0,Lenovo,1,18006.0,ubuy
17,AMD Ryzen? 7 3700U Processor with Radeon? RX Vega 10 Graphics,radeon rx vega 10 graph,15.6,8.0,512,https://www.ubuy.com.eg/en/product/4FI4IMVN2-gateway-15-6-ultra-slim-notebook-fhd-amd-ryzen-7-3700u-with-radeon-rx-vega-10-graphics-512gb-ssd-8gb-memory-tuned-by-thx-audio,2,512,Gateway,1,8813.0,ubuy
